beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
t&e toffinis estates ltd,CY,Cyprus,project,,,,,,,Cyprus,Famagusta,,Ayia Napa,,,,"Ayia Napa, Cyprus",34.9856497,34.0152301,True,3100
pavlo napa beach hotel,CY,Cyprus,project,,,,,,,Cyprus,Ammochostos,,Ayia Napa,5341,Nissi Avenue,71,"Nissi Ave 71, Ayia Napa 5341, Cyprus",34.9884436,33.9791897,True,3100
bella napa hotels ltd,CY,Cyprus,project,,,,,,,Cyprus,Famagusta,,Ayia Napa,,,,"Ayia Napa, Cyprus",34.9857,34.0139,True,3100
kermia hotels ltd,CY,Cyprus,project,,,,,,,Cyprus,Famagusta,,Ayia Napa,,,,"Ayia Napa, Cyprus",34.9738793,34.04030220000001,True,3100
round two renovations & constructions ltd,CY,Cyprus,project,,,,,,,Cyprus,,,Ozanköy,,Osman Türkay Caddesi,,"No. 10, Northern Cyprus, Osman Türkay Caddesi, Ozanköy",35.3316362,33.3413958,True,2207
f.p. kalopanayiotis spa ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,"Kalopanayiotis, Nicosia",2862,,,"Markou Drakou 80, Kalopanayiotis, Nicosia 2862, Cyprus",34.993198,32.829351,True,1424
kypros tsingis car services ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Nicosia,,,,"Nicosia, Cyprus",35.0565767,32.9130106,True,1411
a.t.p. anastasiou supermarket ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Strovolos,,Lefkosias,18,"Lefkosias 18, Strovolos, Cyprus",35.1326251,33.0874025,True,1361
α.ε. πατροκλου λτδ,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Nicosia,2720,,,"Sidney 7,Akaki, Nicosia 2720, Cyprus",35.13274000000001,33.128379,True,1360
παγωτα παπαφιλιππου & πατισερι παναγιωτησ λτδ,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Kokkinotrimithia,,Grigori Afxentiou Road,,"Grigori Afxentiou Road, Kokkinotrimithia, Cyprus",35.1486111,33.2268012,True,1243
παγωτά παπαφιλίππου & πατισερί παναγιώτης λτδ,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Kokkinotrimithia,,Grigori Afxentiou Road,,"Grigori Afxentiou Road, Kokkinotrimithia, Cyprus",35.1486111,33.2268012,True,1243
csp computers ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Kokkinotrimithia,,,,"Kokkinotrimithia, Cyprus",35.14857600000001,33.209883,True,1243
alkis h. hadjikyriacos (frou-frou biscuits) public limited,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Kokkinotrimithia,,,,"Kokkinotrimithia, Cyprus",35.1505397,33.2263979,True,1243
laser graphics ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Kokkinotrimithia,,,,"Kokkinotrimithia, Cyprus",35.1538731,33.2267818,True,1243
thamira food manufacturers ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,,,B9,,"B9, Cyprus",35.1460196,33.1730166,True,1241
ιδιωτικό φροντιστήριο αριστειο λτδ,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Deftera,,,,"Deftera, Cyprus",35.08624699999999,33.279149,True,1233
cne technology ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,2643,,,"Ergates Industrial Area, Ergates 2643, Cyprus",35.0655944,33.2258785,True,1230
eliades bros metalworks ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,,,,"Ergates, Cyprus",35.0644539,33.2290077,True,1230
elysee irrigation ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,2643,,5,"Pentadaktylou, 5, Ergates 2643, Cyprus",35.06410290000001,33.22739239999999,True,1230
nikyr products & co ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,,,,"Ergates, Cyprus",35.0654421,33.229643,True,1230
zx fami ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,,,,"Ergates, Cyprus",35.0639958,33.2298743,True,1230
g & l. calibers ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,,,,"Unnamed Road, Ergates, Cyprus",35.0654656,33.2238817,True,1230
elysse pvc ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,2643,,5,"Pentadaktylou, 5, Ergates 2643, Cyprus",35.06410290000001,33.22739239999999,True,1230
cne technologies ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,2643,,,"Ergates Industrial Area, Ergates 2643, Cyprus",35.0655944,33.2258785,True,1230
g. karagiorgis plastics ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Ergates,,,,"Ergates, Cyprus",35.0649018,33.2299358,True,1230
kokomix ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Nicosia,,Eleftheriou Venizelou,,"Eleftheriou Venizelou, Lefkoşa, Cyprus",35.0664068,33.3560604,True,1225
farak hair touch ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Tseri,,,,"Tseri, Cyprus",35.0761799,33.3243114,True,1225
cyprometal ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,,2480,,,"Tseri Industrial Area, Nicosia, CYPRUS Nicosia CY, 2480, Cyprus",35.060032,33.3530806,True,1225
atelie a. demetriades ltd,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,,,Eleftheriou Venizelou,,"43, Eleftheriou Venizelou, Cyprus",35.06544720000001,33.3545999,True,1225
φωτοχρωματα λτδ/,CY,Cyprus,project,,,,,,,Cyprus,Nicosia,,Klirou,,Ε904,,"Ε904, Klirou, Cyprus",35.021656,33.1777761,True,1209
