project_id,project_description,beneficiary,total_amount,eu_cofinancing_amount,member_state_amount,paid_eu_funding,project_title,operational_program,fund_acronym,nuts3,lau2,start_date,management_authority,priority_label,source,beneficiary_url
2442,JAVNI RAZPIS RAZISKOVALNI VAVČER,ŠPICA INTERNATIONAL D.O.O.,30000,25500,4500,,"INDUSTRIJSKE RAZISKAVE IN KRITIČNA ANALIZA METOD STROJNEGA UČENJA NA PODROČJU PRIPOROČILNEGA SISTEMA ZA NAROČANJE BLAGA IZ SKLADIŠČA, TRGOVINE IN PROFILIRANJE UPORABNIKOV",OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2443,JAVNI RAZPIS RAZISKOVALNI VAVČER,ŠTORE STEEL D.O.O.,30000,25500,4500,,ČISTOST JEKEL IN VODIK V JEKLU,OP RR,ESRR,SAVINJSKA,ŠTORE,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2444,JAVNI RAZPIS RAZISKOVALNI VAVČER,TAJFUN PLANINA D.O.O.,30000,25500,4500,,NAMENSKI PROPORCIONALNI POTNI HIDRAVLIČNI VENTIL,OP RR,ESRR,SAVINJSKA,ŠENTJUR,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2445,JAVNI RAZPIS RAZISKOVALNI VAVČER,TALUM D.D.,30000,25500,4500,,RAZISKOVALNO DELO PRI RAZVOJU VEČFUNKCIJSKE ALUMINKE,OP RR,ESRR,PODRAVSKA,KIDRIČEVO,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2446,JAVNI RAZPIS RAZISKOVALNI VAVČER,TELEKOM SLOVENIJE D.D.,64800,55080,9720,,OPTIMALNA REALIZACIJA UPORABNIŠKE IZKUŠNJE TELEMEDICINE ZA STAREJŠE,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2447,JAVNI RAZPIS RAZISKOVALNI VAVČER,"TESEUS, POSLOVNO IN FINANČNO SVETOVANJE TER VREDNOTENJE PODJETIJ D.O.O.",30000,25500,4500,,"RAZVOJ MODELA ZA IZBOLJŠANJE ORGANIZACIJSKE KOMUNIKACIJE V PODJETJU TESEUS, D.O.O.",OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2448,JAVNI RAZPIS RAZISKOVALNI VAVČER,TKK PROIZVODNJA KEMIČNIH IZDELKOV SRPENICA OB SOČI D.D.,30000,25500,4500,,RAZVOJ POLIMERNIH LEPIL ZA GRADBENIŠTVO RAZLIČNIH KEMIJSKIH OSNOV,OP RR,ESRR,GORIŠKA,BOVEC,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2449,JAVNI RAZPIS RAZISKOVALNI VAVČER,TMG-BMC D.O.O.,30000,25500,4500,,RAZISKAVA »DOLOČANJE KARAKTERISTIČNIH MODELOV MIŠIC«,OP RR,ESRR,OSREDNJESLOVENSKA,LJUBLJANA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2450,JAVNI RAZPIS RAZISKOVALNI VAVČER,TOGO D.O.O.,30000,25500,4500,,RAZVOJ VISOKOVREDNEGA OGNJEVZDRŽNEGA GRANULATA NA OSNOVI ODPADNIH MATERIALOV,OP RR,ESRR,SAVINJSKA,SLOVENSKE KONJICE,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
2451,JAVNI RAZPIS RAZISKOVALNI VAVČER,"TOMPLAST PREDELAVA TERMOPLASTOV, D.O.O.",49000,41650,7350,,NOVE TEHNOLOGIJE VEČFAZNEGA BRIZGANJA,OP RR,ESRR,JUGOVZHODNA SLOVENIJA,MIRNA,2012,JAVNI RAZPIS,KONKURENČNOST PODJETIJ IN RAZISKOVALNA ODLIČNOST,OU,
