"Date","Price","Open","High","Low","Change %"
"Feb 26, 2013","4.3860","4.3757","4.3906","4.3674","0.29%"
"Feb 25, 2013","4.3735","4.3803","4.3871","4.3646","-0.28%"
"Feb 22, 2013","4.3857","4.3778","4.3922","4.3639","0.04%"
"Feb 21, 2013","4.3839","4.3714","4.3917","4.3684","0.16%"
"Feb 20, 2013","4.3767","4.3736","4.3878","4.3641","0.00%"
"Feb 19, 2013","4.3767","4.3806","4.3963","4.3689","-0.22%"
"Feb 18, 2013","4.3863","4.3814","4.3976","4.3781","-0.00%"
"Feb 15, 2013","4.3865","4.3803","4.3985","4.3742","0.06%"
"Feb 14, 2013","4.3838","4.3746","4.3970","4.3702","0.00%"
"Feb 13, 2013","4.3838","4.3989","4.4115","4.3745","-0.41%"
"Feb 12, 2013","4.4017","4.3912","4.4093","4.3877","0.10%"
"Feb 11, 2013","4.3972","4.3918","4.4095","4.3855","0.00%"
"Feb 08, 2013","4.3970","4.3991","4.4050","4.3861","-0.04%"
"Feb 07, 2013","4.3986","4.3838","4.4177","4.3802","0.26%"
"Feb 06, 2013","4.3870","4.3778","4.3967","4.3686","0.13%"
"Feb 05, 2013","4.3811","4.3661","4.3895","4.3631","0.19%"
"Feb 04, 2013","4.3726","4.3669","4.3792","4.3507","0.08%"
"Feb 01, 2013","4.3691","4.3806","4.3901","4.3597","-0.39%"
"Jan 31, 2013","4.3864","4.3801","4.3994","4.3725","0.07%"
"Jan 30, 2013","4.3832","4.3733","4.3906","4.3688","0.16%"
"Jan 29, 2013","4.3762","4.3913","4.3974","4.3659","-0.43%"
"Jan 28, 2013","4.3950","4.3682","4.4000","4.3596","0.57%"
"Jan 25, 2013","4.3702","4.3552","4.3779","4.3491","0.27%"
"Jan 24, 2013","4.3586","4.3687","4.3960","4.3475","-0.30%"
"Jan 23, 2013","4.3715","4.3540","4.3803","4.3491","0.32%"
"Jan 22, 2013","4.3577","4.3493","4.3692","4.3451","0.12%"
"Jan 21, 2013","4.3525","4.3402","4.3665","4.3337","0.26%"
"Jan 18, 2013","4.3414","4.3214","4.3480","4.3174","0.39%"
"Jan 17, 2013","4.3247","4.3187","4.3406","4.3140","0.04%"
"Jan 16, 2013","4.3228","4.3379","4.3479","4.3125","-0.51%"
"Jan 15, 2013","4.3449","4.3813","4.3968","4.3308","-0.92%"
"Jan 14, 2013","4.3852","4.3842","4.3906","4.3688","0.10%"
"Jan 11, 2013","4.3810","4.3641","4.3900","4.3601","0.32%"
"Jan 10, 2013","4.3670","4.3947","4.3999","4.3590","-0.69%"
"Jan 09, 2013","4.3974","4.4017","4.4136","4.3809","-0.18%"
"Jan 08, 2013","4.4055","4.4021","4.4145","4.3933","0.02%"
"Jan 07, 2013","4.4047","4.4195","4.4272","4.3945","-0.39%"
"Jan 04, 2013","4.4221","4.4083","4.4322","4.4040","0.17%"
"Jan 03, 2013","4.4145","4.4073","4.4236","4.4006","0.10%"
"Jan 02, 2013","4.4102","4.4384","4.4492","4.3951","-0.79%"
"Jan 01, 2013","4.4452","4.4418","4.4493","4.4330","0.00%"
"Dec 31, 2012","4.4451","4.4357","4.4572","4.4253","0.04%"
"Dec 28, 2012","4.4434","4.4274","4.4480","4.4220","0.29%"
"Dec 27, 2012","4.4305","4.4167","4.4436","4.4136","0.26%"
"Dec 26, 2012","4.4189","4.4154","4.4247","4.4147","-0.09%"
"Dec 25, 2012","4.4229","4.4163","4.4257","4.4137","0.01%"
"Dec 24, 2012","4.4225","4.4422","4.4571","4.4133","-0.68%"
"Dec 21, 2012","4.4530","4.4498","4.4574","4.4345","-0.01%"
"Dec 20, 2012","4.4536","4.4698","4.4828","4.4357","-0.33%"
"Dec 19, 2012","4.4684","4.4618","4.4876","4.4565","0.09%"
"Dec 18, 2012","4.4646","4.4646","4.4770","4.4568","-0.07%"
"Dec 17, 2012","4.4678","4.4732","4.4802","4.4511","-0.08%"
"Dec 14, 2012","4.4716","4.4742","4.4907","4.4616","-0.14%"
"Dec 13, 2012","4.4779","4.5215","4.5278","4.4655","-1.03%"
"Dec 12, 2012","4.5244","4.5420","4.5456","4.5174","-0.39%"
"Dec 11, 2012","4.5419","4.5316","4.5486","4.5240","0.23%"
"Dec 10, 2012","4.5316","4.5296","4.5394","4.5210","-0.00%"
"Dec 07, 2012","4.5317","4.5307","4.5441","4.5197","-0.07%"
"Dec 06, 2012","4.5350","4.5336","4.5486","4.5245","-0.04%"
"Dec 05, 2012","4.5366","4.5310","4.5513","4.5263","0.05%"
"Dec 04, 2012","4.5343","4.5222","4.5380","4.5139","0.20%"
