Date,Price,Open,High,Low,Change %
"Nov 30, 2012",1.2319,1.236,1.2367,1.2291,-0.34%
"Nov 29, 2012",1.2361,1.2373,1.2376,1.2321,-0.12%
"Nov 28, 2012",1.2376,1.2379,1.2403,1.2363,-0.03%
"Nov 27, 2012",1.238,1.2354,1.241,1.2322,0.18%
"Nov 26, 2012",1.2358,1.2363,1.2375,1.2327,0.01%
"Nov 23, 2012",1.2357,1.237,1.2384,1.2327,-0.15%
"Nov 22, 2012",1.2376,1.2433,1.2441,1.2362,-0.51%
"Nov 21, 2012",1.2439,1.2422,1.2491,1.2416,0.12%
"Nov 20, 2012",1.2424,1.2414,1.2458,1.2409,0.06%
"Nov 19, 2012",1.2416,1.2458,1.2481,1.2409,-0.44%
"Nov 16, 2012",1.2471,1.2407,1.2486,1.2402,0.49%
"Nov 15, 2012",1.241,1.2435,1.2454,1.2394,-0.23%
"Nov 14, 2012",1.2439,1.2489,1.25,1.2418,-0.43%
"Nov 13, 2012",1.2493,1.2491,1.2549,1.2483,-0.02%
"Nov 12, 2012",1.2495,1.2506,1.2519,1.2463,-0.09%
"Nov 09, 2012",1.2506,1.2532,1.2553,1.2498,-0.22%
"Nov 08, 2012",1.2534,1.2519,1.2565,1.2504,0.12%
"Nov 07, 2012",1.2519,1.2484,1.2548,1.2447,0.24%
"Nov 06, 2012",1.2489,1.2487,1.2527,1.2464,-0.01%
"Nov 05, 2012",1.249,1.2486,1.2525,1.2474,0.06%
"Nov 02, 2012",1.2483,1.2458,1.2508,1.245,0.18%
"Nov 01, 2012",1.246,1.2446,1.2497,1.243,0.12%
"Oct 31, 2012",1.2445,1.24,1.2456,1.2376,0.35%
"Oct 30, 2012",1.2402,1.2422,1.244,1.2383,-0.18%
"Oct 29, 2012",1.2424,1.2439,1.2466,1.2409,-0.15%
"Oct 26, 2012",1.2443,1.2455,1.2504,1.2431,-0.16%
"Oct 25, 2012",1.2463,1.2365,1.2472,1.2342,0.76%
"Oct 24, 2012",1.2369,1.2283,1.2383,1.2267,0.66%
"Oct 23, 2012",1.2288,1.2255,1.2309,1.2248,0.24%
"Oct 22, 2012",1.2259,1.2291,1.2311,1.2244,-0.24%
"Oct 19, 2012",1.2288,1.2277,1.2317,1.2269,0.09%
"Oct 18, 2012",1.2277,1.2303,1.2334,1.2271,-0.25%
"Oct 17, 2012",1.2308,1.2308,1.2335,1.2285,-0.16%
"Oct 16, 2012",1.2328,1.241,1.2418,1.2321,-0.69%
"Oct 15, 2012",1.2414,1.2401,1.2439,1.2374,0.06%
"Oct 12, 2012",1.2407,1.2409,1.2424,1.2359,-0.03%
"Oct 11, 2012",1.2411,1.2437,1.2467,1.2385,-0.23%
"Oct 10, 2012",1.244,1.2419,1.2454,1.2398,0.11%
"Oct 09, 2012",1.2426,1.2352,1.2437,1.2342,0.57%
"Oct 08, 2012",1.2356,1.239,1.2411,1.2347,-0.18%
"Oct 05, 2012",1.2378,1.2436,1.2457,1.2368,-0.49%
"Oct 04, 2012",1.2439,1.2454,1.2467,1.2412,-0.12%
"Oct 03, 2012",1.2454,1.2486,1.251,1.2444,-0.27%
"Oct 02, 2012",1.2488,1.2518,1.2535,1.2466,-0.22%
"Oct 01, 2012",1.2516,1.2567,1.2592,1.2489,-0.47%
"Sep 28, 2012",1.2575,1.257,1.2585,1.2505,0.03%
"Sep 27, 2012",1.2571,1.2558,1.2622,1.2548,0.10%
"Sep 26, 2012",1.2558,1.2548,1.2597,1.2541,0.07%
"Sep 25, 2012",1.2549,1.2543,1.2604,1.2518,0.02%
"Sep 24, 2012",1.2546,1.2515,1.2572,1.2501,0.30%
"Sep 21, 2012",1.2508,1.2504,1.2543,1.2481,0.03%
"Sep 20, 2012",1.2504,1.2432,1.2522,1.2423,0.56%
"Sep 19, 2012",1.2434,1.2449,1.2476,1.2404,-0.14%
"Sep 18, 2012",1.2451,1.2385,1.2467,1.2382,0.50%
"Sep 17, 2012",1.2389,1.2364,1.2408,1.2338,0.31%
"Sep 14, 2012",1.2351,1.2434,1.2447,1.2318,-0.68%
"Sep 13, 2012",1.2435,1.2486,1.2511,1.2426,-0.40%
"Sep 12, 2012",1.2485,1.2501,1.2555,1.2451,-0.15%
"Sep 11, 2012",1.2504,1.2527,1.2553,1.2484,-0.22%
"Sep 10, 2012",1.2532,1.2502,1.2538,1.2477,0.37%
"Sep 07, 2012",1.2486,1.261,1.262,1.2481,-0.99%
"Sep 06, 2012",1.2611,1.2615,1.2651,1.2579,-0.06%
"Sep 05, 2012",1.2618,1.2629,1.2681,1.2605,-0.11%
