location_bg,country,nuts1,nuts2,nuts3,lau1
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Първомай",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Parvomay
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Казанлък",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Kazanluk
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пловдив, Перущица",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Plovdiv Province,Perushtitsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Добрич",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Dobrich Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Силистра, Силистра",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Silistra Province,Silistra
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Долна Митрополия",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Dolna Mitropolia
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Оряхово",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Oryahovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Разград, Кубрат",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Razgrad Province,Kubrat
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Ямбол, Ямбол",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Yambol Province,Yambol-city
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Ветово",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Vetovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Перник, Перник",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Pernik Province,Pernik
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Шумен",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Shoumen
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Кюстендил, Трекляно",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Kyustendil Province,Treklyano
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Разград, Исперих",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Razgrad Province,Isperih
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Николаево",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Nikolaevo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Долни чифлик",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Dolni chiflik
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Годеч",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Godech
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Левски",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Levski
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Шумен, Никола Козлево",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Shoumen Province,Nikola Kozlevo
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Чавдар",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Chavdar
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Белица",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Belitsa
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Търговище, Опака",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Turgovishte Province,Opaka
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Бойница",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Boynitsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Смолян",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Smolyan Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Вълчи дол",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Vulchi dol
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Сливен, Котел",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Sliven Province,Kotel
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Габрово, Дряново",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Gabrovo Province,Dryanovo
Франция,France,,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Велико Търново, Свищов",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Veliko Turnovo Province,Svishtov
