NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
FR412;FR412;5510;55247;no;Horville-en-Ornois;Horville-en-Ornois;65;7620000;3
FR412;FR412;5510;55248;no;Houdelaincourt;Houdelaincourt;361;16070000;3
FR412;FR412;5510;55327;no;Mauvages;Mauvages;271;21110000;3
FR412;FR412;5510;55436;no;Les Roises;Les Roises;33;3920000;3
FR412;FR412;5510;55459;no;Saint-Joire;Saint-Joire;245;18320000;3
FR412;FR412;5510;55516;no;Tréveray;Tréveray;635;17180000;3
FR412;FR412;5510;55534;no;Vaudeville-le-Haut;Vaudeville-le-Haut;69;9710000;3
FR412;FR412;5510;55574;no;Vouthon-Bas;Vouthon-Bas;62;7220000;3
FR412;FR412;5510;55575;no;Vouthon-Haut;Vouthon-Haut;72;13230000;3
FR412;FR412;5511;55214;no;Givrauval;Givrauval;326;9690000;3
FR412;FR412;5511;55221;no;Guerpont;Guerpont;253;6120000;3
FR412;FR412;5511;55291;no;Ligny-en-Barrois;Ligny-en-Barrois;4 307;32260000;2
FR412;FR412;5511;55298;no;Loisey-Culey;Loisey-Culey;453;24480000;3
FR412;FR412;5511;55300;no;Longeaux;Longeaux;235;7490000;3
FR412;FR412;5511;55326;no;Maulan;Maulan;98;4220000;3
FR412;FR412;5511;55332;no;Menaucourt;Menaucourt;219;6300000;3
FR412;FR412;5511;55358;no;Chanteraine;Chanteraine;205;22400000;3
FR412;FR412;5511;55370;no;Naix-aux-Forges;Naix-aux-Forges;212;6320000;3
FR412;FR412;5511;55372;no;Nançois-sur-Ornain;Nançois-sur-Ornain;388;7980000;2
FR412;FR412;5511;55373;no;Nant-le-Grand;Nant-le-Grand;63;11260000;3
FR412;FR412;5511;55374;no;Nant-le-Petit;Nant-le-Petit;84;9020000;3
FR412;FR412;5511;55376;no;Nantois;Nantois;93;6050000;3
FR412;FR412;5511;55452;no;Saint-Amand-sur-Ornain;Saint-Amand-sur-Ornain;69;6060000;3
FR412;FR412;5511;55466;no;Salmagne;Salmagne;310;16730000;3
FR412;FR412;5511;55488;no;Silmont;Silmont;185;3830000;3
FR412;FR412;5511;55504;no;Tannois;Tannois;397;13340000;3
FR412;FR412;5511;55519;no;Tronville-en-Barrois;Tronville-en-Barrois;1 568;12640000;2
FR412;FR412;5511;55543;no;Velaines;Velaines;923;10710000;2
FR412;FR412;5511;55581;no;Willeroncourt;Willeroncourt;129;7890000;3
FR412;FR412;5512;55028;no;Bantheville;Bantheville;131;14280000;3
FR412;FR412;5512;55070;no;Brabant-sur-Meuse;Brabant-sur-Meuse;138;6900000;3
FR412;FR412;5512;55115;no;Cierges-sous-Montfaucon;Cierges-sous-Montfaucon;58;9150000;3
FR412;FR412;5512;55124;no;Consenvoye;Consenvoye;288;15850000;3
FR412;FR412;5512;55137;no;Cuisy;Cuisy;47;5560000;3
FR412;FR412;5512;55140;no;Cunel;Cunel;14;4690000;3
FR412;FR412;5512;55146;no;Dannevoux;Dannevoux;215;14400000;3
FR412;FR412;5512;55174;no;Épinonville;Épinonville;77;14060000;3
FR412;FR412;5512;55193;no;Forges-sur-Meuse;Forges-sur-Meuse;111;15970000;3
FR412;FR412;5512;55206;no;Gercourt-et-Drillancourt;Gercourt-et-Drillancourt;142;13600000;3
FR412;FR412;5512;55208;no;Gesnes-en-Argonne;Gesnes-en-Argonne;48;7060000;3
FR412;FR412;5512;55346;no;Montfaucon-d'Argonne;Montfaucon-d'Argonne;362;23610000;3
FR412;FR412;5512;55375;no;Nantillois;Nantillois;63;7660000;3
FR412;FR412;5512;55422;no;Regnéville-sur-Meuse;Regnéville-sur-Meuse;45;3810000;3
FR412;FR412;5512;55438;no;Romagne-sous-Montfaucon;Romagne-sous-Montfaucon;191;15700000;3
FR412;FR412;5512;55484;no;Septsarges;Septsarges;50;8860000;3
FR412;FR412;5512;55490;no;Sivry-sur-Meuse;Sivry-sur-Meuse;376;22240000;3
FR412;FR412;5513;55051;no;Biencourt-sur-Orge;Biencourt-sur-Orge;134;12380000;3
FR412;FR412;5513;55061;no;Le Bouchon-sur-Saulx;Le Bouchon-sur-Saulx;236;5420000;3
FR412;FR412;5513;55075;no;Brauvilliers;Brauvilliers;172;9260000;3
FR412;FR412;5513;55087;no;Bure;Bure;91;18390000;3
FR412;FR412;5513;55133;no;Couvertpuis;Couvertpuis;88;8870000;3
FR412;FR412;5513;55144;no;Dammarie-sur-Saulx;Dammarie-sur-Saulx;442;11340000;3
