beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Vorbereitungskurse Pflegehelferinnen in Güssing,697.44,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Vorbereitungskurse Pflegehelferinnen- Ausbildung I+II in Eisenstadt,1177.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Pflegehelferinnen-Ausbildung in Oberwart,35423,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Innenausbau in Güssing,9511.11,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Der Gast ist König - Kommunikation Tourismus in Eisenstadt,1436.26,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,"Bildungsmaßnahme: Weiterbildung Bau, neue Materialien, usw. in Neusiedl/See",2622.43,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Deutsch mit Bewerbungstraining in Oberpullendorf (2 Veranstaltungen!),13392.24,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung für Jugendliche in Oberpullendorf,7889.88,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Lagerfachkraft für Bau in Oberwart,4972.64,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Verkaufstraining mit Ungarisch in Oberwart,11902.09,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Buchhaltungskurs mit BMD in Mattersburg,9378.72,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: FIB - Fit in den Beruf für Frauen und Wiedereinsteigerinnen in Neusiedl,62900.01,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Fun 4 U in Güssing,15360.18,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Güssing,4645.96,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Modulares EDV Training in Neusiedl,63395.22,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Oberpullendorf,1595.84,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIA Erholungsraumdesign in Güssing,75784.53,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIA Zimmerei in Güssing,29788.04,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: FIA Tischlerei in Güssing,70324.62,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Intensivschulung Handel in Eisenstadt,29160.01,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch Konversation in Mattersburg,6202.86,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch Konversation in Eisenstadt,6990.07,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Buchhaltung mit SAP in Eisenstadt,28315.89,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Güssing,3240.08,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: ADR-Kurs in Güssing,2199.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Fahrzeugkrankurs in Güssing,1972.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Turmdrehkrankurs in Güssing,1661.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs in Güssing,4014.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: ECDL in Güssing,8559.83,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Güssing,1534.66,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Jennersdorf,1592.68,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Praxisbüro für Wiedereinsteigerinnen in Eisenstadt,63646.74,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Praxisbüro für Wiedereinsteigerinnen in Oberwart,89210.48,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: ELL Englisch in Eisenstadt,9613.62,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Englisch Konversation in Mattersburg,6298.02,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,"Bildungsmaßnahme: Logistik, Lager, EDV in Mattersburg",8237.28,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining in Eisenstadt,11841.63,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Deutsch für AusländerInnen in Mattersburg,13341.36,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Sicherheit am Bau in Mattersburg,2212.44,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: FahrzeugkranführerInnenkurs in Neusiedl/See,2239.05,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Industrieführerschein IWDL inkl. Bewerbungstraining in Neusiedl/See,6056.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Bau-Grundausbildung in Jennersdorf,5086.05,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Jennersdorf,1367.68,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Maschinistenausbildung in Jennersdorf,11489.47,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Jennersdorf,1464.18,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: EDV Grundkurs in Jennersdorf,5051.32,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: front office management in Eisenstadt,6808,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Mark up-Marketing für KMU's für Jugendliche in Neusiedl/See,7188,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Professioneller Verkauf & Umgang mit KundInnen in Eisenstadt,9887.73,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: KundInnenumgang im Gastgewerbe in Neusiedl/See,2295.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Gesund im Beruf in Neusiedl/See,7571.54,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,"Bildungsmaßnahme: Gastronomie - Küche, Service und Englisch in Güssing",10181.25,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Englisch Konversation in Güssing,10003.14,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs in Neusiedl/See,6282.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Sicherheit am Bau in Neusiedl/See,2437.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Englisch in Neusiedl/See,9941.47,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Industrieführerschein IWDL in Eisenstadt,4824.56,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Oberpullendorf,1814.42,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Fahrzeugkrankurs in Oberpullendorf,2048.55,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Turmdrehkrankurs in Oberpullendorf,1632.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs in Oberpullendorf,6234.2,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Start aktiv in Neusiedl/See,8770.19,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch Grundkurs in Oberpullendorf,4669.5,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fashion up - Karriere bei Textilhandelsketten in Oberwart,9931.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EBC*L-Wirtschatftsführerschein in Oberwart,5807.65,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Der Gast ist König - Kommunikation Tourismus in Oberwart,958.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Lager inkl. Staplerschein in Güssing,8514.98,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Eventmanagement in Güssing,11358.55,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Buchhaltung mit BMD in Güssing,8269.1,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnenausbildung in Eisenstadt,68604.08,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Projektmanagement mit PMA Zertifizierung in Eisenstadt,25195.42,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Verkaufs- und Telefontraining in Oberpullendorf,4629.1,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining in Güssing,17364.62,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Güssing,5303.45,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Der professionelle Dienstleister in Eisenstadt,13680,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch für AusländerInnen,9107.59,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: SAP-Grundlagen für HBLA- und HAK- MaturantInnen in Oberwart,36967.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Buchhaltung und Personalverrechnung in Oberwart,15646.14,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ECDL für WiedereinsteigerInnen in Güssing,11283.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Englisch für AnfängerInnen in Neusiedl/See,7335.33,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Schaufenstergestaltung + Diplom in Neusiedl/See,6265.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Kommunikation - die fünf Stufen zum Erfolg in Eisenstadt,6615.91,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Neusiedl/See,1612.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Mark up Marketing für KMUs in Eisenstadt,7229.99,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: SAP-Grundlagen in Oberwart,36174.7,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung in Oberwart,8944.85,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Buchhaltung in Oberwart,7215.26,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Buchhaltung und Personalverrechnung in Oberwart,14182.96,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Buchhaltung in Oberwart,7367.08,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Fachkurs Personalverrechnung in Oberwart,9470.31,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Projektmanagement MS Projekt in Oberwart,10493.6,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Lagerverwaltung inkl. Staplerschein in Oberwar,8248.44,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ECDL in Güssing,7430.06,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EBC*L-Wirtschaftsführerschein in Mattersburg,6484.17,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Der professionelle Dienstleister in Eisenstadt,13680,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Güssing,5563.97,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV-Kurs allgemein in Neusiedl/See,4523.46,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: SpezialistIn für Einkauf - Einkaufsbroker in Mattersburg,6917.99,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Neusiedl/See,5684.52,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Neusiedl/See,5662.66,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Qualifizierung im Handel inkl. Kassa und Bewerbungstraining in Neusiedl/See,10678.94,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Gesund im Beruf in Neusiedl,14362.12,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Ausbildung zum/zur Jungsommelier/e in Oberwart,9324.82,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Verkaufstraining inkl. Schaufenstergestaltung in Mattersburg,20002.17,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PflegehelferInnen-Ausbildung in Güssing,39627.16,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining in Mattersburg,8373.21,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Ungarisch Sprachtraining in Oberpullendorf,1250.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining in Eisenstadt,12366.47,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: PC Grundkurs in Güssing,5539.97,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Industrieführerschein IWDL in Eisenstadt,4079,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: ELL Englisch in Eisenstadt,8194.94,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: EDV Grundkurs in Jennersdorf,2973.5,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahme - Qualifizierung,Bildungsmaßnahme: Deutsch für AusländerInnen in Güssing,13016.92,A,Arbeitsmarktservice Burgenland
