beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
Amminger Marco DI,"7312 Horitschon, Günser Straße 8","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Zertifikatslehrgang ""Hypno-Systemisches Coaching""",2925,A,Wirtschaft Burgenland GmbH
Amminger Marco DI,"7312 Horitschon, Günser Straße 8","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Seminar ""Leading out of Drama Course""",735,A,Wirtschaft Burgenland GmbH
Amminger Marko,"7210 Mattersburg, Michael Koch Straße 18b/9","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Lehrgang Mentalcoach und NLP Practitioner,2617.5,A,Wirtschaft Burgenland GmbH
Amon Yvonne,"7071 Rust, Mörbischer Straße 2/1/7","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Diplomlehrgang ""Energetik und ganzheitliche Gesundheitsberatung""",2250,A,Wirtschaft Burgenland GmbH
AMP GmbH,"7503 GROSSPETERSDORF, Lisztgasse 6",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Elektrotechnische Grundausbildung,1530,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Qualifizierungsberatung für Betriebe,Qualifizierungsberatung für Betriebe: Qualifizierungsberatung Burgenland,47553,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Qualifizierungsberatung für Betriebe - Qualifizierungsverbund,Qualifizierungsberatung für Betriebe: Qualifizierungsberatung für Betriebe - Qualifizierungsverbund,371250,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Qualifizierungsberatung für Betriebe - Qualifizierungsverbund,Qualifizierungsberatung für Betriebe: Qualifizierungsberatung für Betriebe - Qualifizierungsverbund (Verlängerung),320562.73,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Qualifizierungsberatung für Betriebe,Qualifizierungsberatung für Betriebe: Qualifizierungsberatung für Betriebe im Burgenland 2012 bis 2013(dupl),101035.68,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Flexibilitätsberatung für Betriebe,Flexibilitätsberatung für Betriebe: Flexibilitätsberatung für Betriebe (Flexibilitätsberatung für Betriebe) Phasing Out Burgenland(dupl),218512.28,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Flexibilitätsberatung für Betriebe,Flexibilitätsberatung für Betriebe: Flexibilitätsberatung für Betriebe (Flexibilitätsberatung für Betriebe) Phasing Out Burgenland(dupl) (Verlänger,131560.04,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Oberpullendorf,1796.42,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: ADR-Kurs in Oberpullendorf,2050.93,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Grundkurs Ungarisch in Oberpullendorf,5461.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Turmdrehkrankurs in Oberwart,1312.4,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs in Oberwart,4109.8,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Oberwart,1495.86,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Fahrzeugkrankurs in Oberwart,1716.35,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Ordinationsgehilfin für WiedereinsteigerInnen in Oberwart,9245.15,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Der professionelle Dienstleister in Eisenstadt,13680,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Deutsch inkl. Bewerbungstraining in Neusiedl/See,15638.13,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Fahrzeugkrankurs in Eisenstadt,2401.75,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: BaggerfahrerInnenkurs in Eisenstadt,4962.2,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Eisenstadt,2123.1,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,"Bildungsmaßnahme: Weiterbildung für Dachdecker, Spengler und Zimmerer in Mattersburg",3412.9,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Servicequalität für Handwerker in Mattersburg,2719.12,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: Ausbildung zum/zur Jungsommelier/e in Neusiedl/See,10882.49,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: StaplerfahrerInnenkurs in Neusiedl/See,2247.45,A,Arbeitsmarktservice Burgenland
AMS Burgenland,"7000 Eisenstadt, Permayerstr. 10",Bildungsmaßnahmen Qualifizierung,Bildungsmaßnahme: EDV für Hotel- und Gastgewerbe in Neusiedl/See,4114.52,A,Arbeitsmarktservice Burgenland
