beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
sukromne gymnazium katkin park ii,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice II,,040 11,Katkin Park,2,"Katkin Park 198/2, 040 11 Košice, Slovakia",48.7205493,21.2307996,True,598224
support service s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava I,,811 02,Tallerova,8,"Tallerova 4/8, 811 02 Bratislava, Slovakia",48.1418046,17.1138633,True,528595
suprako s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice - okolie,Turňa nad Bodvou,044 02,,,"Turňa nad Bodvou 433, 04402, 044 02 Turňa nad Bodvou, Slovakia",48.599941,20.875639,True,559784
"suscch, a.s.",SK,Slovakia,project,,,,,,,Slovakia,Banskobystrický kraj,Banská Bystrica,,974 01,Cesta k nemocnici,1,"Cesta k, Cesta k nemocnici 622/1, 974 01 Banská Bystrica, Slovakia",48.7420353,19.1605332,True,508438
svaman spol. s r.o.,SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Myjava,,907 01,Brezovská,18,"Brezovská 449/18, 907 01 Myjava, Slovakia",48.7399808,17.5597094,True,504581
"svec a spol, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Nitra,,952 01,Staničná,502,"Staničná 502, 952 01 Vráble, Slovakia",48.25052600000001,18.300315,True,500933
"svet zdravia, a. s.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava IV,,841 04,,,"Líščie údolie 57, Poliklinika Karlova Ves, 841 04 Bratislava, Slovakia",48.153667,17.060684,True,529397
sweet revelation s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice I,,040 01,Mlynská,25,"Mlynská 872/25, 040 01 Košice, Slovakia",48.72125699999999,21.2613924,True,598186
"sweety, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Prešov,Prešov,080 01,Petrovianska,34,"Petrovianska 34, 080 01 Prešov-Haniska II, Slovakia",48.9556635,21.2554054,True,518522
"synergy trade, a.s.",SK,Slovakia,project,,,,,,,Slovakia,Banskobystrický kraj,Rimavská Sobota,,981 01,Vladimíra Clementisa,1,"Vladimíra Clementisa 214/1, 981 01 Hnúšťa, Slovakia",48.56754950000001,19.9507875,True,514829
szs pre ziakov s autizmom,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Michalovce,Klokočov,072 36,,,"Klokočov 65, 072 36 Klokočov, Slovakia",48.81490339999999,22.029349,True,522597
"t-industry, s.r.o",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,,831 05,Račianska,109,"Račianska 1533/109, 831 05 Bratislava, Slovakia",48.1800571,17.1265186,True,529346
t-systems slovakia s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice I,,040 01,Žriedlová,13,"Žriedlová 13, 040 01 Staré Mesto, Slovakia",48.71905069999999,21.2460907,True,598186
"talianska pekaren bageta, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,,831 04,Vajnorská,89,"Vajnorská 1326/89, 831 04 Nové Mesto, Slovakia",48.17569169999999,17.1408658,True,529346
tanax trucks a.s.,SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Bánovce nad Bebravou,,957 01,Partizánska,73,"Partizánska 916/73, 957 01 Bánovce nad Bebravou, Slovakia",48.7204468,18.2737206,True,542652
"tandem plus crc, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Spišská Nová Ves,,052 01,Markušovská cesta,14,"Markušovská cesta 14, 052 01 Spišská Nová Ves, Slovakia",48.940234,20.5797277,True,526355
"tatra clima, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Poprad,,05801,Dlhé Hony,4991,"Dlhé Hony 4991, 05801 Poprad, Slovakia",49.050715,20.291278,True,523381
"tatra hotel slovakia, a.s.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava I,,811 06,Námestie 1. mája,5,"Námestie 1. mája 5, 811 06 Staré Mesto, Slovakia",48.14946579999999,17.1097447,True,528595
tatra-therm sk s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Kežmarok,,060 01,,,"Nad traťou, 06001 Kežmarok, 060 01 Kežmarok, Slovakia",49.151366,20.426992,True,523585
tatragroup s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Kežmarok,,060 01,Michalská,73,"Michalská 1836/73, 060 01 Kežmarok, Slovakia",49.146914,20.4307177,True,523585
tatralift a.s.,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Kežmarok,,060 01,Poľná,4,"Poľná 1619/4, 060 01 Kežmarok, Slovakia",49.1441487,20.4262999,True,523585
tatranska likerka s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Prešovský kraj,Kežmarok,Kežmarok,060 01,Pradiareň,44,"Pradiareň 1846/44, 060 01 Kežmarok-Pradiareň, Slovakia",49.162103,20.4464098,True,523585
tatrapet export-import,SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Liptovský Mikuláš,,031 01,Podtatranského,11,"Podtatranského 9/11, 031 01 Liptovský Mikuláš, Slovakia",49.0900476,19.6111225,True,510262
"tatras, s. r. o.",SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Liptovský Mikuláš,,031 01,Priemyselná,1,"Priemyselná 1851/1, 031 01 Liptovský Mikuláš, Slovakia",49.0746636,19.6344184,True,510262
"tatry mountain resorts,a.s.",SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Liptovský Mikuláš,Demänovská Dolina,031 01,,,"Demänovská Dolina 72, 031 01 Demänovská Dolina, Slovakia",48.9712933,19.5810092,True,510386
"tau-chem, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,,831 02,Nobelova,34,"Nobelova 34, 831 02 Bratislava, Slovakia",48.1824531,17.1395048,True,529346
"tax office hennel & kralik, v.o.s.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava V,,851 01,Einsteinova,3692/21,"Einsteinova 3692/21, 851 01 Petržalka, Slovakia",48.13093989999999,17.1074449,True,529460
"tayllor & cox slovensko, a. s.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava II,,821 08,Zelinárska,6,"Zelinárska 662/6, 821 08 Bratislava, Slovakia",48.1547905,17.1402703,True,529320
"tc contact, spol. s r.o.",SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Nové Mesto nad Váhom,,915 01,M. R. Štefánika,29,"M. R. Štefánika 2037/29, 915 01 Nové Mesto nad Váhom, Slovakia",48.7498932,17.8298867,True,506338
"techklima, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Trenčiansky kraj,Nové Mesto nad Váhom,,915 01,Trenčianska,17,"Trenčianska 1878/17, 915 01 Nové Mesto nad Váhom, Slovakia",48.74969499999999,17.83867399999999,True,506338
"technicke sluzby, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Žilinský kraj,Dolný Kubín,Dolný Kubín,026 01,Nábrežie Oravy,1,"Nábrežie Oravy 220/1, 026 01 Dolný Kubín-Kňažia, Slovakia",49.2368709,19.3072395,True,509540
"techniserv, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,,831 02,Nobelova,34,"Nobelova 34, 831 02 Nové Mesto, Slovakia",48.185032,17.138311,True,529346
"technov, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Nitriansky kraj,Nitra,Rumanová,951 37,Hlavná,144,"Hlavná 144, 951 37 Rumanová, Slovakia",48.33067330000001,17.8703246,True,500712
tecton a.s.,SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava I,,811 06,Námestie SNP,10,"Námestie SNP 469/10, 811 06 Bratislava, Slovakia",48.1456956,17.110754,True,528595
tempus - bavaria s.r.o.,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice IV,,040 01,Rastislavova,110,"Rastislavova 2499/110, 040 01 Košice, Slovakia",48.6887272,21.2609958,True,599824
tempus - trans s.r.o,SK,Slovakia,project,,,,,,,Slovakia,Košický kraj,Košice IV,,040 01,Rastislavova,110,"Rastislavova 2499/110, 040 01 Košice, Slovakia",48.689088,21.2629911,True,599824
"tenis centrum, s.r.o.",SK,Slovakia,project,,,,,,,Slovakia,Bratislavský kraj,Bratislava III,Bratislava - Nové Mesto-Bratislava,831 03,Príkopova,6,"Príkopova 3255/6, 831 03 Bratislava - Nové Mesto-Bratislava-Bratislava, Slovakia",48.16287119999999,17.1343559,True,529346
