"query_country_code","nuts3_code","sum"
DE,DEB3B,4919931
UK,UKF25,4908955
DE,DE146,4905163
DE,DE234,4809517
DE,DE943,4799893
NL,NL122,4753036
AT,AT321,4507081
DE,DE27E,4443474
DE,DE216,4351823
DE,DE277,4323458
BE,BE253,4275904
UK,UKJ32,4252275
UK,UKK42,4223179
UK,UKG11,4169933
DE,DE12C,4161241
DE,DE94A,4069013
BE,BE345,4035725
AT,AT331,4019567
DE,DE11B,3974298
DE,DE949,3888137
UK,UKK14,3876827
DE,DE257,3832469
DE,DEB3I,3768812
DE,DE215,3702958
DE,DEB16,3682441
BE,BE257,3649515
DE,DEB24,3639749
BE,BE232,3588793
DE,DE262,3587658
DE,DE24C,3582800
DE,DE944,3573008
DE,DE21G,3570466
BE,BE342,3422520
DE,DE12A,3374516
DE,DE227,3344028
DE,DE278,3342421
DE,DE25A,3317093
UK,UKM24,3297311
DE,DE259,3281471
DE,DE21A,3267207
NL,NL323,3252346
DE,DE25C,3247525
DE,DEB3A,3240428
DE,DE274,3236752
DE,DE923,3215940
DE,DE275,3210529
DE,DEB39,3127211
DE,DEB33,3122971
DE,DE21C,3023818
DE,DE947,2961607
UK,UKM23,2922600
UK,UKK22,2848783
DE,DE91B,2802305
UK,UKH32,2794834
DE,DE21B,2786286
DE,DE238,2737232
DE,DE927,2724566
UK,UKJ41,2650511
DE,DE922,2626791
DE,DE217,2555342
UK,UKJ34,2535569
DE,DE248,2468052
DE,DE928,2463877
DE,DE27B,2413661
DE,DEB38,2388421
DE,DE21J,2384876
DE,DE21F,2330398
DE,DE219,2284488
DE,DE21E,2277777
DE,DE218,2255756
DE,DE21I,2252373
DE,DE21D,2223983
DE,DE948,2120449
BE,BE233,2094518
UK,UKJ12,2089877
UK,UKM37,2061276
BE,BE252,2060830
AT,AT111,2046953
BE,BE235,2017202
BE,BE258,1968483
UK,UKM26,1846667
DE,DE91A,1784385
DE,DE94D,1760251
DE,DE946,1725179
FI,FI200,1655211
UK,UKM64,1584065
DE,DEB31,1512792
UK,UKH31,1428373
DE,DE272,1403437
DE,DE258,1391873
DE,DE919,1369395
DE,DE945,1151688
DE,DE913,1150489
DE,DE912,1135721
NL,NL112,1060654
DE,DE121,1008985
UK,UKH11,953017
DE,DE94F,950518
DE,DE94H,662257
DE,DE255,660022
DE,DE917,655007
DE,DE942,640496
DE,DE941,637840
DE,DE94G,637727
DE,DE926,610807
