Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
ASSISTANCE DETECTION IMAGES INDUSTRIAL SERVICES,14/10/2009,16500,4950,7425,12375,4050,6075,10125,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DOCLEDGE,19/10/2009,15000,4500,6750,11250,4500,6750,11250,22/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Trachet - Soberac,28/09/2009,500,150,225,375,150,225,375,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW LACHAUSSEE,1/10/2009,2000,600,900,1500,600,900,1500,04/02/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
YAMM,8/10/2009,13000,3900,5850,9750,3900,5850,9750,15/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
UTERON PHARMA,10/11/2009,7500,2250,3375,5625,2250,3375,5625,23/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GARNIMETAL,18/12/2009,4000,1200,1800,3000,1200,1800,3000,26/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
3-GSP,15/10/2009,12000,3600,5400,9000,3600,5400,9000,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW LACHAUSSEE,20/10/2009,14000,4200,6300,10500,4200,6300,10500,06/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
EPSLOG,28/10/2009,2500,750,1125,1875,750,1125,1875,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PHISA,20/10/2009,13000,3900,5850,9750,3900,5850,9750,22/09/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Ateliers Bodart et Vange,27/10/2009,1000,300,450,750,300,450,750,31/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARRIERES ET ENTREPRISES BODARWE ET FILS SA,10/11/2009,1000,300,450,750,300,450,750,29/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARRIERES ET ENTREPRISES BODARWE ET FILS SA,10/11/2009,1000,300,450,750,300,450,750,29/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PREFABRICATIONS ET FERRAILLAGES ,29/10/2009,2500,750,1125,1875,750,1125,1875,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DTA,28/10/2009,3500,1050,1575,2625,1050,1575,2625,22/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Laboratoire OVEMIN,19/11/2009,20000,6000,9000,15000,6000,9000,15000,5/11/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SCE Immobilière,2/11/2009,5000,1500,2250,3750,1500,2250,3750,20/12/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SMOLINFO,2/11/2009,8000,2400,3600,6000,2400,3600,6000,27/06/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ELOY PREFAB,4/11/2009,20000,6000,9000,15000,6000,9000,15000,5/11/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
