"query_country_code","lau2_code","sum"
HU,HU0512,78080069
IT,ITF33_063024,78046792
NL,NL310_0342,78006516
PL,PL129_114293412,77770770
FR,FR421_67482,77544845
RO,RO322_179551,77406044
ES,ES425_45165,77240661
CZ,CZ080_598259,77228576
SI,SI022_122,76847881
BE,BE323_53053,76787527
PL,PL225_224441701,76762091
SK,SK041_543179,76673648
PL,PL12A_114301804,76632619
IT,ITG18_088006,76549898
GR,EL642_29010101,76546329
HU,HU2029,76527645
PL,PL312_306106201,76465694
IT,ITF47_072030,76375510
PL,PL622_628561402,76290365
FR,FR813_34172,76164986
RO,RO122_40438,76142913
ES,ES704_35017,76038551
BG,BG333_83510,76030645
ES,ES616_23005,75934129
PL,PL325_318351503,75827360
UK,UKE32_E05001045,75709380
IT,ITF33_063083,75551990
IT,ITF33_063064,75534991
ES,ES618_41095,75475898
IT,ITF33_063023,75358304
PL,PL621_628540407,75332818
SK,SK031_510998,75282962
PL,PL635_622420901,75268005
PT,PT171_110646,75195585
GR,EL515_05010101,75168438
PL,PL432_408140906,75069326
CZ,CZ053_579891,74983057
HU,HU3102,74952469
AT,AT332_70101,74946232
DE,DE502_04012000,74904049
ES,ES523_46190,74894432
PT,PT118_040245,74665560
HU,HU0304,74630497
GR,EL526_12010101,74603962
IT,ITG18_088009,74514800
IT,ITF33_063002,74349287
PT,PT163_100912,74327740
FI,FI193_179,74285598
DE,DE401_12051000,74263135
FI,FI1D7_698,74146999
PT,PT113_131803,74036441
ES,ES416_40194,73755451
HU,HU0434,73686125
PL,PL417_430596301,73683098
LV,LV005_0210000,73654511
SE,SE331_2480,73625767
PL,PL518_502042302,73620356
PL,PL425_432660402,73578324
FR,FR431_25056,73270935
ES,ES230_26089,73121102
ES,ES419_49275,73046732
DE,DE222_09262000,72871239
SI,SI011_080,72823342
IT,ITF46_071051,72749241
BG,BG332_72624,72630289
GR,EL533_17010101,72563943
LV,LV007_0900200,72560918
BE,BE322_52011,72528207
GR,EL522_07060103,72192043
IT,ITF46_071020,72161874
IT,ITF48_110001,72157709
LT,LT005_27,72121365
PL,PL621_628541508,72115788
PL,PL432_408140805,71934996
PL,PL422_432631501,71733356
LT,LT00A_1316,71699937
SK,SK042_598151,71534534
DE,DE111_08111000,71433456
SK,SK042_598186,71315017
ES,ES616_23002,71290562
PT,PT161_011004,71076875
IT,ITF61_078108,70959843
PL,PL12A_114303201,70866562
RO,RO122_40278,70681009
FR,FR940_97422,70593746
PL,PL216_212231205,70380171
PL,PL217_212241615,70242670
PT,PT200_430207,70176558
FI,FI197_837,70160213
PL,PL314_306110911,70028178
PT,PT184_020515,70008230
PT,PT171_110621,69391035
CZ,CZ042_563056,69360225
PT,PT161_010506,69358558
UK,UKK30_E05008321,68874135
SK,SK041_519006,68803727
ES,ES414_34120,68691470
PT,PT183_070519,68583003
PL,PL326_318360304,68540632
PL,PL635_622420701,68444213
CZ,CZ072_545058,68389153
IT,ITF47_072023,68345921
ES,ES114_36060,68303861
PL,PL129_114291201,68291696
PL,PL312_306106401,68270807
FR,FR612_33063,68241103
GR,EL653_44010101,67989472
CZ,CZ031_553131,67923015
PL,PL522_516321105,67898059
GR,EL301_46010000,67879999
GR,EL521_08010101,67852106
ES,ES612_11028,67763812
IT,ITF33_063058,67752632
RO,RO423_86990,67732900
SK,SK010_529389,67686104
CZ,CZ051_563510,67672894
BE,BE332_62063,67663923
PL,PL518_502042001,67651077
RO,RO223_60507,67605857
CZ,CZ051_564095,67475438
IT,ITF11_066049,67314874
PL,PL325_318351504,67305992
ES,ES617_29015,67167954
PL,PL331_326520503,67154313
BG,BG321_10447,67148715
CZ,CZ020_537004,67122387
PL,PL324_318341310,66970943
PT,PT200_460204,66896639
CZ,CZ072_588491,66825049
PL,PL411_430601901,66701648
PL,PL622_628561401,66610710
NL,NL339_0599,66605007
ES,ES513_25120,66505107
PT,PT184_020513,66461647
SK,SK031_509493,66418882
HU,HU1278,66391117
PT,PT112_030351,66329933
GR,EL531_14010101,66329430
LT,LT00A_1311,66200915
PL,PL214_212200903,66055378
HU,HU1484,66023219
PL,PL114_110150801,66016171
CZ,CZ080_599565,65856547
PL,PL622_628561403,65851848
BG,BG414_55871,65849266
