Date,Price,Open,High,Low,Change %
"Oct 16, 2012",8.6294,8.6193,8.6548,8.5996,0.06%
"Oct 15, 2012",8.6243,8.6629,8.6914,8.603,-0.56%
"Oct 12, 2012",8.6732,8.6611,8.7083,8.6439,0.10%
"Oct 11, 2012",8.6645,8.6113,8.6791,8.5861,0.50%
"Oct 10, 2012",8.6212,8.6208,8.6489,8.5697,-0.09%
"Oct 09, 2012",8.6288,8.6046,8.6371,8.5826,0.26%
"Oct 08, 2012",8.6067,8.5885,8.624,8.5834,0.06%
"Oct 05, 2012",8.6017,8.5914,8.6363,8.5524,0.05%
"Oct 04, 2012",8.597,8.6185,8.6431,8.5818,-0.35%
"Oct 03, 2012",8.6273,8.537,8.6422,8.5252,1.02%
"Oct 02, 2012",8.5406,8.4855,8.5615,8.4754,0.54%
"Oct 01, 2012",8.4949,8.4217,8.5053,8.4064,0.64%
"Sep 28, 2012",8.4409,8.4171,8.4629,8.4047,0.16%
"Sep 27, 2012",8.427,8.4724,8.5022,8.404,-0.59%
"Sep 26, 2012",8.4767,8.4632,8.5271,8.4512,-0.01%
"Sep 25, 2012",8.4773,8.484,8.5386,8.4405,-0.19%
"Sep 24, 2012",8.4938,8.5156,8.5389,8.4647,-0.26%
"Sep 21, 2012",8.516,8.4521,8.5611,8.4331,0.67%
"Sep 20, 2012",8.4594,8.4919,8.5189,8.441,-0.46%
"Sep 19, 2012",8.4982,8.548,8.5758,8.4747,-0.51%
"Sep 18, 2012",8.5417,8.5797,8.6476,8.5197,-0.97%
"Sep 17, 2012",8.6255,8.6061,8.6539,8.5848,0.23%
"Sep 14, 2012",8.6056,8.5339,8.6258,8.5159,0.82%
"Sep 13, 2012",8.5353,8.465,8.5653,8.437,0.78%
"Sep 12, 2012",8.4691,8.49,8.5259,8.4433,-0.26%
"Sep 11, 2012",8.4908,8.462,8.5241,8.4417,0.37%
"Sep 10, 2012",8.4593,8.4537,8.5034,8.4341,0.04%
"Sep 07, 2012",8.4556,8.5125,8.5531,8.4333,-0.83%
"Sep 06, 2012",8.5266,8.4906,8.5571,8.4507,0.56%
"Sep 05, 2012",8.4791,8.4295,8.5038,8.4114,0.44%
"Sep 04, 2012",8.4417,8.4143,8.4523,8.3927,0.21%
"Sep 03, 2012",8.424,8.3286,8.4443,8.3017,1.07%
"Aug 31, 2012",8.335,8.3561,8.3877,8.2998,-0.36%
"Aug 30, 2012",8.3652,8.3413,8.3828,8.32,0.25%
"Aug 29, 2012",8.3441,8.2848,8.375,8.2827,0.46%
"Aug 28, 2012",8.3062,8.2414,8.3222,8.1974,0.72%
"Aug 27, 2012",8.247,8.2513,8.2821,8.2143,-0.22%
"Aug 24, 2012",8.2652,8.272,8.3081,8.2274,-0.18%
"Aug 23, 2012",8.2797,8.2998,8.3463,8.2632,-0.43%
"Aug 22, 2012",8.3151,8.2968,8.3603,8.2811,0.17%
"Aug 21, 2012",8.3012,8.2375,8.3189,8.216,0.71%
"Aug 20, 2012",8.2428,8.2162,8.2639,8.1881,0.26%
"Aug 17, 2012",8.2213,8.2565,8.3198,8.2023,-0.59%
"Aug 16, 2012",8.2697,8.2023,8.2869,8.1865,0.75%
"Aug 15, 2012",8.2082,8.2396,8.2799,8.1912,-0.58%
"Aug 14, 2012",8.256,8.2579,8.2903,8.2149,-0.21%
"Aug 13, 2012",8.2732,8.1783,8.2844,8.1602,1.06%
"Aug 10, 2012",8.1868,8.2294,8.2676,8.1637,-0.57%
"Aug 09, 2012",8.2339,8.2672,8.2959,8.2061,-0.41%
"Aug 08, 2012",8.2681,8.3398,8.3569,8.2436,-0.87%
"Aug 07, 2012",8.341,8.3157,8.3593,8.2933,0.21%
"Aug 06, 2012",8.3236,8.3028,8.364,8.2848,0.18%
"Aug 03, 2012",8.3085,8.2912,8.3294,8.2484,0.16%
"Aug 02, 2012",8.2949,8.3081,8.3546,8.2543,-0.26%
"Aug 01, 2012",8.3162,8.3549,8.3861,8.2867,-0.60%
"Jul 31, 2012",8.3666,8.3189,8.3904,8.3017,0.56%
"Jul 30, 2012",8.3198,8.445,8.4765,8.3,-1.62%
"Jul 27, 2012",8.457,8.4394,8.5191,8.3958,0.14%
"Jul 26, 2012",8.4454,8.4687,8.4821,8.4103,-0.31%
"Jul 25, 2012",8.4718,8.4059,8.4855,8.4005,0.63%
"Jul 24, 2012",8.4184,8.3967,8.441,8.3796,0.22%
"Jul 23, 2012",8.4003,8.4264,8.4704,8.3722,-0.51%
"Jul 20, 2012",8.443,8.4901,8.5208,8.4158,-0.77%
"Jul 19, 2012",8.5083,8.5049,8.5372,8.4806,-0.11%
"Jul 18, 2012",8.5173,8.5552,8.569,8.4641,-0.49%
"Jul 17, 2012",8.5592,8.6342,8.6622,8.537,-0.94%
"Jul 16, 2012",8.64,8.5962,8.6537,8.589,0.34%
"Jul 13, 2012",8.6107,8.5598,8.6305,8.5427,0.41%
"Jul 12, 2012",8.5758,8.5606,8.6003,8.5461,0.11%
"Jul 11, 2012",8.5663,8.5639,8.5809,8.5174,0.08%
"Jul 10, 2012",8.5595,8.6075,8.6362,8.5222,-0.74%
"Jul 09, 2012",8.6237,8.6172,8.6624,8.5985,-0.04%
"Jul 06, 2012",8.6272,8.6256,8.6841,8.6041,-0.09%
"Jul 05, 2012",8.6349,8.6529,8.6776,8.5879,-0.26%
"Jul 04, 2012",8.6577,8.7378,8.7617,8.6348,-0.91%
"Jul 03, 2012",8.737,8.7103,8.7515,8.6947,0.30%
"Jul 02, 2012",8.711,8.7457,8.7757,8.6949,-0.60%
"Jun 29, 2012",8.7632,8.7449,8.7929,8.734,0.01%
"Jun 28, 2012",8.7627,8.7753,8.8236,8.7422,-0.28%
"Jun 27, 2012",8.7869,8.8194,8.8528,8.7678,-0.42%
"Jun 26, 2012",8.8237,8.819,8.8559,8.8014,-0.07%
"Jun 25, 2012",8.8302,8.7951,8.8538,8.784,0.21%
"Jun 22, 2012",8.8113,8.8104,8.8218,8.7787,-0.06%
"Jun 21, 2012",8.8162,8.826,8.8513,8.7919,-0.16%
"Jun 20, 2012",8.8303,8.8333,8.8559,8.8083,-0.09%
"Jun 19, 2012",8.8384,8.8241,8.8646,8.8049,0.10%
"Jun 18, 2012",8.8292,8.8354,8.8613,8.8139,-0.09%
"Jun 15, 2012",8.8371,8.8492,8.8697,8.8014,-0.20%
"Jun 14, 2012",8.8551,8.8312,8.8613,8.8051,0.19%
"Jun 13, 2012",8.8386,8.8417,8.8696,8.8036,-0.12%
"Jun 12, 2012",8.8488,8.8789,8.9003,8.8214,-0.44%
"Jun 11, 2012",8.8876,8.8943,8.9153,8.8462,-0.39%
"Jun 08, 2012",8.9225,8.974,8.9996,8.9049,-0.66%
"Jun 07, 2012",8.9822,8.9951,9.0537,8.9413,-0.23%
"Jun 06, 2012",9.0026,8.9673,9.0282,8.9501,0.33%
"Jun 05, 2012",8.9733,8.9536,8.9985,8.941,0.09%
"Jun 04, 2012",8.9655,9.0095,9.0268,8.9378,-0.54%
"Jun 01, 2012",9.014,8.9846,9.0311,8.9617,0.32%
"May 31, 2012",8.985,8.9738,9.0077,8.9473,0.01%
"May 30, 2012",8.9838,8.9949,9.0291,8.9323,-0.20%
"May 29, 2012",9.0019,8.9669,9.0261,8.953,0.23%
"May 28, 2012",8.9812,8.9648,9.0272,8.9469,-0.01%
"May 25, 2012",8.9818,8.9895,9.0208,8.9571,-0.28%
