"Date","Price","Open","High","Low","Change %"
"Jan 13, 2010","7.2938","7.2785","7.3044","7.2500","0.43%"
"Jan 12, 2010","7.2623","7.2740","7.2905","7.2407","-0.25%"
"Jan 11, 2010","7.2808","7.3264","7.3362","7.2377","-0.19%"
"Jan 08, 2010","7.2945","7.3280","7.3567","7.2543","-0.52%"
"Jan 07, 2010","7.3327","7.2835","7.3390","7.2680","0.60%"
"Jan 06, 2010","7.2890","7.2879","7.3412","7.2692","-0.59%"
"Jan 05, 2010","7.3323","7.2845","7.3372","7.2457","0.07%"
"Jan 04, 2010","7.3270","7.2957","7.3322","7.2510","0.37%"
"Jan 01, 2010","7.3003","7.2920","7.3296","7.2868","-0.37%"
"Dec 31, 2009","7.3277","7.2884","7.3358","7.2755","0.45%"
"Dec 30, 2009","7.2950","7.2917","7.3366","7.2746","-0.06%"
"Dec 29, 2009","7.2993","7.3019","7.3387","7.2776","-0.08%"
"Dec 28, 2009","7.3053","7.3222","7.3343","7.2710","-0.42%"
"Dec 25, 2009","7.3364","7.3085","7.3406","7.2707","0.06%"
"Dec 24, 2009","7.3317","7.2840","7.3353","7.2705","-0.01%"
"Dec 23, 2009","7.3323","7.2794","7.3372","7.2627","0.67%"
"Dec 22, 2009","7.2833","7.2790","7.3369","7.2621","-0.08%"
"Dec 21, 2009","7.2888","7.3275","7.3353","7.2629","-0.03%"
"Dec 18, 2009","7.2911","7.2855","7.3370","7.2481","-0.00%"
"Dec 17, 2009","7.2912","7.2615","7.3392","7.2475","0.02%"
"Dec 16, 2009","7.2895","7.2775","7.3461","7.2428","0.07%"
"Dec 15, 2009","7.2847","7.2770","7.3388","7.2469","-0.64%"
"Dec 14, 2009","7.3319","7.2620","7.3369","7.2479","0.05%"
"Dec 11, 2009","7.3283","7.2595","7.3358","7.2456","0.89%"
"Dec 10, 2009","7.2635","7.2591","7.3340","7.2429","-0.02%"
"Dec 09, 2009","7.2650","7.2590","7.2747","7.2187","-0.02%"
"Dec 08, 2009","7.2667","7.3270","7.3374","7.2449","-0.31%"
"Dec 07, 2009","7.2895","7.3090","7.3419","7.2513","-0.36%"
"Dec 04, 2009","7.3156","7.3045","7.3445","7.2699","-0.22%"
"Dec 03, 2009","7.3317","7.3095","7.3415","7.2870","0.26%"
"Dec 02, 2009","7.3127","7.3286","7.3494","7.2841","0.07%"
"Dec 01, 2009","7.3075","7.3060","7.3383","7.2862","-0.34%"
"Nov 30, 2009","7.3323","7.3290","7.3425","7.2891","0.23%"
"Nov 27, 2009","7.3155","7.3176","7.3418","7.2835","-0.06%"
"Nov 26, 2009","7.3199","7.3120","7.3289","7.2845","0.11%"
"Nov 25, 2009","7.3120","7.3065","7.3259","7.2868","0.07%"
"Nov 24, 2009","7.3068","7.3095","7.3215","7.2422","-0.10%"
"Nov 23, 2009","7.3140","7.3075","7.3286","7.2362","-0.01%"
"Nov 20, 2009","7.3145","7.3151","7.3400","7.2664","0.14%"
"Nov 19, 2009","7.3043","7.3135","7.3307","7.2868","-0.17%"
"Nov 18, 2009","7.3171","7.3146","7.3236","7.2959","-0.02%"
"Nov 17, 2009","7.3183","7.3094","7.3303","7.2406","0.06%"
"Nov 16, 2009","7.3140","7.2981","7.3224","7.2357","0.17%"
"Nov 13, 2009","7.3014","7.2915","7.3103","7.2358","0.46%"
"Nov 12, 2009","7.2679","7.2814","7.3019","7.2343","-0.24%"
"Nov 11, 2009","7.2857","7.2767","7.2931","7.2377","0.07%"
"Nov 10, 2009","7.2807","7.2426","7.2851","7.2368","0.05%"
"Nov 09, 2009","7.2770","7.2435","7.2839","7.2383","0.11%"
"Nov 06, 2009","7.2690","7.2590","7.3120","7.2332","0.05%"
"Nov 05, 2009","7.2653","7.2765","7.2880","7.1980","-0.06%"
"Nov 04, 2009","7.2695","7.2614","7.3186","7.2292","0.25%"
"Nov 03, 2009","7.2517","7.2415","7.2734","7.2193","0.05%"
"Nov 02, 2009","7.2481","7.2235","7.2750","7.2090","-0.27%"
"Oct 30, 2009","7.2677","7.2125","7.2972","7.1970","0.52%"
"Oct 29, 2009","7.2298","7.2260","7.2752","7.1946","0.07%"
"Oct 28, 2009","7.2246","7.2164","7.2439","7.1941","0.09%"
"Oct 27, 2009","7.2184","7.2125","7.2835","7.1932","0.00%"
"Oct 26, 2009","7.2181","7.2136","7.2896","7.1918","-0.05%"
"Oct 23, 2009","7.2219","7.2131","7.3086","7.1943","0.04%"
"Oct 22, 2009","7.2189","7.2140","7.2855","7.1943","-0.08%"
"Oct 21, 2009","7.2248","7.2155","7.3113","7.1947","0.09%"
"Oct 20, 2009","7.2185","7.2164","7.2903","7.1906","-0.06%"
"Oct 19, 2009","7.2231","7.2286","7.2884","7.1937","-0.29%"
"Oct 16, 2009","7.2439","7.2321","7.2855","7.2077","-0.27%"
"Oct 15, 2009","7.2636","7.2525","7.2874","7.2122","0.10%"
"Oct 14, 2009","7.2565","7.2500","7.2900","7.2155","0.02%"
"Oct 13, 2009","7.2547","7.2501","7.2893","7.2190","0.28%"
"Oct 12, 2009","7.2342","7.2471","7.2912","7.2165","-0.33%"
"Oct 09, 2009","7.2582","7.2560","7.2672","7.2150","0.36%"
"Oct 08, 2009","7.2325","7.2276","7.2634","7.2116","-0.35%"
"Oct 07, 2009","7.2576","7.2486","7.2843","7.2137","0.04%"
"Oct 06, 2009","7.2547","7.2551","7.2921","7.1951","0.23%"
"Oct 05, 2009","7.2382","7.2330","7.2883","7.2201","-0.28%"
"Oct 02, 2009","7.2584","7.2590","7.2925","7.2198","-0.03%"
"Oct 01, 2009","7.2607","7.2551","7.2900","7.2252","-0.06%"
"Sep 30, 2009","7.2652","7.3070","7.3172","7.2237","-0.09%"
"Sep 29, 2009","7.2721","7.2475","7.3189","7.2440","0.02%"
"Sep 28, 2009","7.2705","7.2590","7.3327","7.2415","-0.10%"
"Sep 25, 2009","7.2781","7.2590","7.3200","7.2345","0.17%"
"Sep 24, 2009","7.2660","7.2580","7.3205","7.2270","0.01%"
"Sep 23, 2009","7.2652","7.2730","7.3053","7.2056","-0.19%"
"Sep 22, 2009","7.2793","7.2766","7.3296","7.2496","-0.07%"
"Sep 21, 2009","7.2847","7.2571","7.3110","7.2540","-0.14%"
