NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA;;
DE115;DE115;081185008;08118059;no;Oberriexingen, Stadt;Oberriexingen, Stadt;3263;8160900;3;;
DE115;DE115;081185008;08118068;no;Sersheim;Sersheim;5365;11481400;3;;
DE115;DE115;081185008;08118073;no;Vaihingen an der Enz, Stadt;Vaihingen an der Enz, Stadt;28022;73420500;2;;
DE115;DE115;n.a.;08118003;no;Asperg, Stadt;Asperg, Stadt;12849;5798200;2;;
DE115;DE115;n.a.;08118011;no;Ditzingen, Stadt;Ditzingen, Stadt;24048;30386300;2;;
DE115;DE115;n.a.;08118019;no;Gerlingen, Stadt;Gerlingen, Stadt;19034;17008900;2;;
DE115;DE115;n.a.;08118021;no;Großbottwar, Stadt;Großbottwar, Stadt;8135;25511000;2;;
DE115;DE115;n.a.;08118046;no;Kornwestheim, Stadt;Kornwestheim, Stadt;31732;14645400;2;;
DE115;DE115;n.a.;08118048;no;Ludwigsburg, Stadt;Ludwigsburg, Stadt;88200;43346800;1;;
DE115;DE115;n.a.;08118050;no;Markgröningen, Stadt;Markgröningen, Stadt;14261;28184100;2;;
DE115;DE115;n.a.;08118051;no;Möglingen;Möglingen;10696;9945600;2;;
DE115;DE115;n.a.;08118060;no;Oberstenfeld;Oberstenfeld;7887;21099100;2;;
DE115;DE115;n.a.;08118076;no;Sachsenheim, Stadt;Sachsenheim, Stadt;17490;57920800;2;;
DE115;DE115;n.a.;08118080;no;Korntal-Münchingen, Stadt;Korntal-Münchingen, Stadt;18466;20706200;2;;
DE115;DE115;n.a.;08118081;no;Remseck am Neckar, Stadt;Remseck am Neckar, Stadt;23992;22822500;2;;
DE116;DE116;081195001;08119003;no;Allmersbach im Tal;Allmersbach im Tal;4604;7956700;2;;
DE116;DE116;081195001;08119004;no;Althütte;Althütte;4056;18154500;3;;
DE116;DE116;081195001;08119006;no;Auenwald;Auenwald;6766;19755500;2;;
DE116;DE116;081195001;08119008;no;Backnang, Stadt;Backnang, Stadt;34491;39396200;2;;
DE116;DE116;081195001;08119018;no;Burgstetten;Burgstetten;3497;10287700;2;;
DE116;DE116;081195001;08119038;no;Kirchberg an der Murr;Kirchberg an der Murr;3670;13218900;2;;
DE116;DE116;081195001;08119053;no;Oppenweiler;Oppenweiler;4008;19809200;3;;
DE116;DE116;081195001;08119083;no;Weissach im Tal;Weissach im Tal;7003;14132000;2;;
DE116;DE116;081195001;08119087;no;Aspach;Aspach;7955;35464400;2;;
DE116;DE116;081195002;08119055;no;Plüderhausen;Plüderhausen;9273;26134100;2;;
DE116;DE116;081195002;08119076;no;Urbach;Urbach;8678;20764400;2;;
DE116;DE116;081195003;08119067;no;Schorndorf, Stadt;Schorndorf, Stadt;38281;56834700;2;;
DE116;DE116;081195003;08119086;no;Winterbach;Winterbach;7570;17128600;2;;
DE116;DE116;081195004;08119024;no;Großerlach;Großerlach;2440;27141700;3;;
DE116;DE116;081195004;08119069;no;Spiegelberg;Spiegelberg;2121;28215500;3;;
DE116;DE116;081195004;08119075;no;Sulzbach an der Murr;Sulzbach an der Murr;5104;40114000;3;;
DE116;DE116;081195005;08119037;no;Kaisersbach;Kaisersbach;2509;27936400;3;;
DE116;DE116;081195005;08119084;no;Welzheim, Stadt;Welzheim, Stadt;11045;37987300;2;;
DE116;DE116;081195006;08119042;no;Leutenbach;Leutenbach;10817;14733600;2;;
DE116;DE116;081195006;08119068;no;Schwaikheim;Schwaikheim;9281;9218700;2;;
DE116;DE116;081195006;08119085;no;Winnenden, Stadt;Winnenden, Stadt;27287;28046700;2;;
DE116;DE116;n.a.;08119001;no;Alfdorf;Alfdorf;7031;68519800;2;;
DE116;DE116;n.a.;08119020;no;Fellbach, Stadt;Fellbach, Stadt;43986;27696300;2;;
DE116;DE116;n.a.;08119041;no;Korb;Korb;10087;8453200;2;;
DE116;DE116;n.a.;08119044;no;Murrhardt, Stadt;Murrhardt, Stadt;13545;71133400;2;;
DE116;DE116;n.a.;08119061;no;Rudersberg;Rudersberg;10997;39373200;2;;
DE116;DE116;n.a.;08119079;no;Waiblingen, Stadt;Waiblingen, Stadt;52302;42760600;2;;
DE116;DE116;n.a.;08119089;no;Berglen;Berglen;5995;25869700;3;;
DE116;DE116;n.a.;08119090;no;Remshalden;Remshalden;13527;15145300;2;;
DE116;DE116;n.a.;08119091;no;Weinstadt, Stadt;Weinstadt, Stadt;25998;31709800;2;;
DE116;DE116;n.a.;08119093;no;Kernen im Remstal;Kernen im Remstal;14903;15046200;2;;
DE117;DE117;n.a.;08121000;no;Heilbronn, Stadt;Heilbronn, Stadt;117531;99876900;1;;
DE118;DE118;081255001;08125005;no;Bad Friedrichshall, Stadt;Bad Friedrichshall, Stadt;18274;24699700;2;;
DE118;DE118;081255001;08125078;no;Oedheim;Oedheim;5960;21241900;2;;
DE118;DE118;081255001;08125079;no;Offenau;Offenau;2674;5655000;2;;
DE118;DE118;081255002;08125006;no;Bad Rappenau, Stadt;Bad Rappenau, Stadt;20142;73553100;3;;
DE118;DE118;081255002;08125049;no;Kirchardt;Kirchardt;5450;21500900;2;;
DE118;DE118;081255002;08125087;no;Siegelsbach;Siegelsbach;1626;7679200;3;;
DE118;DE118;081255003;08125013;no;Brackenheim, Stadt;Brackenheim, Stadt;15009;45748400;2;;
DE118;DE118;081255003;08125017;no;Cleebronn;Cleebronn;2722;17092500;3;;
DE118;DE118;081255004;08125026;no;Eppingen, Stadt;Eppingen, Stadt;20769;88590600;3;;
DE118;DE118;081255004;08125034;no;Gemmingen;Gemmingen;4974;19078000;3;;
DE118;DE118;081255004;08125047;no;Ittlingen;Ittlingen;2401;14105700;3;;
DE118;DE118;081255005;08125030;no;Flein;Flein;6572;8473900;2;;
DE118;DE118;081255005;08125094;no;Talheim;Talheim;4839;11618700;2;;
DE118;DE118;081255006;08125056;no;Lauffen am Neckar, Stadt;Lauffen am Neckar, Stadt;10726;22626300;2;;
DE118;DE118;081255006;08125066;no;Neckarwestheim;Neckarwestheim;3520;13969700;3;;
DE118;DE118;081255006;08125074;no;Nordheim;Nordheim;7675;12707600;2;;
DE118;DE118;081255007;08125048;no;Jagsthausen;Jagsthausen;1612;17674400;3;;
DE118;DE118;081255007;08125063;no;Möckmühl, Stadt;Möckmühl, Stadt;7819;49604900;2;;
DE118;DE118;081255007;08125084;no;Roigheim;Roigheim;1399;14008300;3;;
DE118;DE118;081255007;08125103;no;Widdern, Stadt;Widdern, Stadt;1846;25234300;3;;
DE118;DE118;081255008;08125027;no;Erlenbach;Erlenbach;4901;12727200;2;;
DE118;DE118;081255008;08125065;no;Neckarsulm, Stadt;Neckarsulm, Stadt;25754;24941000;2;;
DE118;DE118;081255008;08125096;no;Untereisesheim;Untereisesheim;4143;3669500;2;;
DE118;DE118;081255009;08125069;no;Neuenstadt am Kocher, Stadt;Neuenstadt am Kocher, Stadt;9584;41185500;2;;
