Date,Price,Open,High,Low,Change %
"Feb 20, 2009",303.875,303.77,307.755,301.29,-0.27%
"Feb 19, 2009",304.695,301.81,305.165,298.2,0.38%
"Feb 18, 2009",303.545,309.1,312.005,300.35,-1.74%
"Feb 17, 2009",308.915,303.53,310.335,302.73,1.53%
"Feb 16, 2009",304.26,296.42,305.23,295.74,1.82%
"Feb 13, 2009",298.825,297.81,300.975,294.56,0.00%
"Feb 12, 2009",298.82,294.78,301.64,293.21,1.09%
"Feb 11, 2009",295.61,292.51,297.51,290.89,0.80%
"Feb 10, 2009",293.255,286.73,293.625,285.29,2.11%
"Feb 09, 2009",287.195,287.22,292.495,284.63,-0.55%
"Feb 06, 2009",288.77,290.4,294.62,286.36,-0.83%
"Feb 05, 2009",291.185,296.71,298.635,289.61,-2.16%
"Feb 04, 2009",297.605,299.38,305.595,293.22,-0.69%
"Feb 03, 2009",299.66,295.48,303.61,292.76,1.32%
"Feb 02, 2009",295.75,296.46,299.7,293.75,-0.71%
"Jan 30, 2009",297.86,290.82,300.18,289.4,2.26%
"Jan 29, 2009",291.265,284.2,291.855,283.83,2.08%
"Jan 28, 2009",285.33,285.34,288.12,282.6,-0.13%
"Jan 27, 2009",285.7,286,288.61,281.86,-0.41%
"Jan 26, 2009",286.875,287.85,290.985,282.97,-0.62%
"Jan 23, 2009",288.67,283.5,292.02,281.91,1.14%
"Jan 22, 2009",285.405,281.52,288.645,279.02,1.01%
"Jan 21, 2009",282.565,285.4,286.515,279.28,-1.46%
"Jan 20, 2009",286.755,284.71,289.225,281.86,0.35%
"Jan 19, 2009",285.75,278.61,287.47,277.44,2.19%
"Jan 16, 2009",279.63,277.74,284.43,274.17,0.13%
"Jan 15, 2009",279.265,276.48,283.215,275.37,0.63%
"Jan 14, 2009",277.51,276.95,282.55,272.62,-0.18%
"Jan 13, 2009",278.005,282.08,286.275,272.56,-1.78%
"Jan 12, 2009",283.045,277.13,284.285,276.14,1.86%
"Jan 09, 2009",277.885,273.53,279.365,271.85,1.36%
"Jan 08, 2009",274.15,267.94,276.58,266.61,2.12%
"Jan 07, 2009",268.465,264.88,269.875,261.92,1.43%
"Jan 06, 2009",264.685,266.06,268.235,262.23,-0.70%
"Jan 05, 2009",266.54,265.52,268.84,261.83,0.20%
"Jan 02, 2009",266.005,263.82,267.665,261.84,0.76%
"Jan 01, 2009",263.99,262.57,267.1,260.66,-0.63%
"Dec 31, 2008",265.665,266.42,270.945,261,-0.58%
"Dec 30, 2008",267.225,266.43,269.135,262.52,-0.03%
"Dec 29, 2008",267.295,265.64,269.255,262.29,0.54%
"Dec 26, 2008",265.85,262.33,269.78,262.31,0.70%
"Dec 25, 2008",264,262.56,265.7,261.94,-0.52%
"Dec 24, 2008",265.37,263.26,269.84,262.29,0.64%
"Dec 23, 2008",263.685,263.62,265.905,261.82,-0.11%
"Dec 22, 2008",263.975,263.56,267.415,260.57,-0.58%
"Dec 19, 2008",265.51,265.7,267.28,262.42,-0.32%
"Dec 18, 2008",266.375,265.65,270.205,263.76,-0.04%
"Dec 17, 2008",266.49,266.95,269.11,262.24,-0.41%
"Dec 16, 2008",267.575,267.76,271.645,262.67,-0.06%
"Dec 15, 2008",267.74,265.47,268.3,264.33,0.43%
"Dec 12, 2008",266.605,262.29,268.945,261.28,1.52%
"Dec 11, 2008",262.61,263.04,265.55,261.21,-0.48%
"Dec 10, 2008",263.875,262.85,265.685,261.14,0.14%
"Dec 09, 2008",263.51,261.26,266.6,259.8,0.72%
"Dec 08, 2008",261.635,265.63,266.145,260.24,-1.74%
"Dec 05, 2008",266.265,260.4,267.385,259.23,1.72%
"Dec 04, 2008",261.76,260.75,264.02,258.77,0.17%
"Dec 03, 2008",261.32,261.77,264.15,258.64,-0.54%
"Dec 02, 2008",262.745,261.25,264.455,259.47,0.21%
"Dec 01, 2008",262.185,258.21,263.815,257.38,1.50%
"Nov 28, 2008",258.305,260.02,261.775,257.02,-0.88%
"Nov 27, 2008",260.595,260.14,262.725,258.06,-0.14%
"Nov 26, 2008",260.95,260.2,263.76,258.27,0.13%
"Nov 25, 2008",260.6,258.98,263.25,257.47,0.37%
"Nov 24, 2008",259.65,265.15,267.43,258.12,-2.18%
"Nov 21, 2008",265.445,270.27,271.745,263.69,-2.04%
"Nov 20, 2008",270.98,271.16,273.91,266.92,-0.26%
"Nov 19, 2008",271.675,270.38,273.105,267.55,0.38%
"Nov 18, 2008",270.65,267.91,272.4,266.73,0.70%
"Nov 17, 2008",268.78,263.9,269.39,263.61,0.35%
"Nov 14, 2008",267.855,267.68,272.605,263.51,-0.43%
"Nov 13, 2008",269.005,271.43,273.175,267.33,-0.71%
"Nov 12, 2008",270.925,269.12,273.525,266.14,0.74%
"Nov 11, 2008",268.925,266.39,271.395,264.94,0.41%
"Nov 10, 2008",267.835,266.24,270.675,263.73,0.09%
"Nov 07, 2008",267.585,260.42,271.125,259.51,1.70%
"Nov 06, 2008",263.125,259.69,265.255,257.12,1.69%
"Nov 05, 2008",258.745,257.86,262.145,254.16,0.11%
"Nov 04, 2008",258.465,259.47,262.295,255.63,-0.57%
"Nov 03, 2008",259.94,255.7,262.79,254.93,1.59%
"Oct 31, 2008",255.86,259.22,264.17,254.26,-1.55%
"Oct 30, 2008",259.9,255.75,264.58,251.56,1.10%
"Oct 29, 2008",257.06,259.64,262.02,253.23,-1.30%
"Oct 28, 2008",260.435,267.53,271.715,258.18,-3.50%
"Oct 27, 2008",269.875,273.22,279.935,265.84,-1.82%
"Oct 24, 2008",274.875,279.48,284.435,272.49,-1.76%
"Oct 23, 2008",279.795,277.57,287.525,272.45,0.07%
"Oct 22, 2008",279.59,277.57,286.78,270.69,0.10%
"Oct 21, 2008",279.31,269.99,282.42,267.92,3.22%
"Oct 20, 2008",270.595,264.09,271.675,262.33,1.97%
"Oct 17, 2008",265.365,263.95,274.915,262.38,-0.98%
"Oct 16, 2008",267.995,269.93,273.955,260.74,-1.02%
"Oct 15, 2008",270.755,252.43,272.895,250.75,6.68%
"Oct 14, 2008",253.81,252.05,254.52,246.48,0.55%
"Oct 13, 2008",252.425,261.17,263.035,249.94,-2.38%
"Oct 10, 2008",258.58,263.84,272.65,256.32,-2.17%
"Oct 09, 2008",264.305,251.45,265.535,248.18,4.92%
"Oct 08, 2008",251.905,250.1,255.785,249.09,0.54%
"Oct 07, 2008",250.555,248.12,251.375,246.79,0.89%
"Oct 06, 2008",248.335,245.65,252.605,244.92,0.95%
"Oct 03, 2008",246.005,244.91,247.805,243.23,0.19%
"Oct 02, 2008",245.54,241.49,245.91,240.48,1.42%
"Oct 01, 2008",242.095,241.62,244.635,239.67,0.01%
"Sep 30, 2008",242.07,242.85,245.19,240.26,-0.82%
"Sep 29, 2008",244.065,239.14,244.165,238.81,1.86%
"Sep 26, 2008",239.605,238.75,241.975,238.27,0.07%
"Sep 25, 2008",239.435,240.42,242.555,237.7,-0.75%
"Sep 24, 2008",241.235,240.81,242.555,238.72,-0.30%
"Sep 23, 2008",241.95,240.27,243.46,238.47,0.54%
"Sep 22, 2008",240.66,239.53,241.53,237.92,0.15%
"Sep 19, 2008",240.305,241.93,243.125,238.15,-0.80%
"Sep 18, 2008",242.255,243.72,246.625,240.77,-0.91%
"Sep 17, 2008",244.48,240.9,245.8,239.98,1.10%
"Sep 16, 2008",241.81,242.08,245,240.01,-0.15%
"Sep 15, 2008",242.165,239.49,242.615,237.81,1.96%
"Sep 12, 2008",237.515,240.28,240.905,235.98,-1.39%
"Sep 11, 2008",240.875,238.34,242.805,237.57,0.67%
"Sep 10, 2008",239.275,239.51,242.825,237.65,-0.35%
"Sep 09, 2008",240.105,240.7,242.515,238.2,-0.57%
"Sep 08, 2008",241.475,240.57,242.915,236.49,-0.13%
"Sep 05, 2008",241.785,241.68,243.305,240.2,-0.06%
"Sep 04, 2008",241.93,238.74,242.21,237.84,1.11%
"Sep 03, 2008",239.28,237.09,240.04,236.51,0.73%
"Sep 02, 2008",237.535,238.47,239.765,236.65,-0.45%
"Sep 01, 2008",238.61,236.27,239.1,235.71,0.74%
"Aug 29, 2008",236.86,238.38,240.02,235.36,-0.82%
"Aug 28, 2008",238.815,235.23,239.475,235.16,1.04%
"Aug 27, 2008",236.355,235.04,237.965,234.27,0.31%
"Aug 26, 2008",235.625,233.59,237.485,232.83,0.62%
"Aug 25, 2008",234.175,233.4,235.035,232.56,0.13%
"Aug 22, 2008",233.88,233.63,234.77,232.69,-0.00%
"Aug 21, 2008",233.885,233.1,234.995,232.69,0.11%
"Aug 20, 2008",233.635,235.05,236.085,232.71,-0.72%
"Aug 19, 2008",235.34,235.58,237.55,233.58,-0.26%
"Aug 18, 2008",235.945,238.04,240.065,234.74,-1.44%
"Aug 15, 2008",239.4,238.42,240.67,237.51,0.22%
"Aug 14, 2008",238.87,237.26,239.61,235.81,0.51%
"Aug 13, 2008",237.65,235.46,238.7,235.17,0.57%
"Aug 12, 2008",236.295,236.89,239.125,235,-0.63%
"Aug 11, 2008",237.805,235.69,238.355,235.28,0.56%
"Aug 08, 2008",236.485,234.23,238.075,233.17,0.48%
"Aug 07, 2008",235.345,234.74,236.455,233.46,0.04%
"Aug 06, 2008",235.245,234.61,237.515,233.6,0.06%
"Aug 05, 2008",235.105,233.08,236.625,232.48,0.60%
"Aug 04, 2008",233.705,231.22,234.935,231.16,0.76%
"Aug 01, 2008",231.935,233.58,234.855,230.98,-0.95%
"Jul 31, 2008",234.17,230.31,234.76,230.12,1.45%
"Jul 30, 2008",230.82,229.6,232.2,228.77,0.33%
"Jul 29, 2008",230.06,230.14,232.12,228.7,-0.18%
"Jul 28, 2008",230.48,231.07,232.18,229.88,-0.55%
"Jul 25, 2008",231.76,232.19,233.23,230.27,-0.36%
"Jul 24, 2008",232.595,233.66,235.055,231.11,-0.61%
"Jul 23, 2008",234.015,229.38,234.775,228.85,1.79%
"Jul 22, 2008",229.91,228.22,230.83,227.29,0.63%
"Jul 21, 2008",228.475,228.02,230.225,227.51,-0.02%
"Jul 18, 2008",228.515,229.21,231.225,227.57,-0.76%
"Jul 17, 2008",230.26,230.18,232.43,228.81,-0.21%
"Jul 16, 2008",230.755,231.31,234.075,229.77,-0.63%
"Jul 15, 2008",232.22,229.83,233.9,229.75,0.75%
"Jul 14, 2008",230.495,230.41,232.345,229.11,-0.52%
"Jul 11, 2008",231.695,231.01,232.605,229.39,0.18%
"Jul 10, 2008",231.28,231.74,232.88,230.02,-0.24%
"Jul 09, 2008",231.845,230.68,232.815,229.26,0.08%
"Jul 08, 2008",231.665,231.57,233.605,229.96,0.04%
"Jul 07, 2008",231.565,233.37,234.925,230.73,-1.03%
"Jul 04, 2008",233.97,234.44,236.38,232.39,-0.44%
"Jul 03, 2008",234.995,236.05,237.815,234.2,-0.64%
"Jul 02, 2008",236.52,235.24,237.25,235.03,0.08%
"Jul 01, 2008",236.325,235,237.775,234.24,0.47%
"Jun 30, 2008",235.23,236.7,238.21,234.36,-0.81%
"Jun 27, 2008",237.14,237.15,240.25,236.27,-0.27%
"Jun 26, 2008",237.785,234.74,239.035,234.63,1.16%
"Jun 25, 2008",235.055,238.33,239.015,233.61,-1.55%
"Jun 24, 2008",238.755,238.33,239.805,237.55,-0.23%
"Jun 23, 2008",239.295,238.94,241.085,236.91,-0.03%
"Jun 20, 2008",239.365,239.27,242.105,237.81,-0.52%
"Jun 19, 2008",240.61,241.9,244.5,238.75,-0.95%
"Jun 18, 2008",242.915,244.79,246.645,241.79,-1.04%
"Jun 17, 2008",245.465,246.93,248.755,243.46,-0.84%
"Jun 16, 2008",247.54,245.65,248.84,245.44,0.36%
"Jun 13, 2008",246.66,246.26,248.82,244.93,-0.16%
"Jun 12, 2008",247.06,246.95,248.81,245.7,-0.20%
"Jun 11, 2008",247.555,247.76,249.675,246.07,-0.50%
"Jun 10, 2008",248.79,245.94,249.63,244.81,0.85%
"Jun 09, 2008",246.705,248.25,248.985,244.81,-0.66%
"Jun 06, 2008",248.345,243.14,248.875,242.64,1.86%
"Jun 05, 2008",243.815,240.63,244.855,240.42,0.88%
"Jun 04, 2008",241.68,241.25,243.38,240.11,-0.09%
"Jun 03, 2008",241.905,240.4,243.245,239.63,0.44%
"Jun 02, 2008",240.845,240.17,242.275,239.57,0.16%
"May 30, 2008",240.465,240.22,241.975,239.63,-0.00%
"May 29, 2008",240.475,242.86,243.535,239.41,-1.16%
"May 28, 2008",243.295,243.93,244.855,242.39,-0.46%
"May 27, 2008",244.425,243.87,245.155,242.63,0.06%
"May 26, 2008",244.285,243.79,245.375,243.13,-0.16%
