beneficiary,city
Dunaalmás Község Önkormányzata,Dunaalmás
Zákányszék Község Önkormányzata,Zákányszék
"Iharosberény, Iharos, és Pogányszentpéter Községek Közoktatási Intézményi Társulása nevében Iharosberény Község Önkormányzata, mint gesztor","Iharosberény, Pogányszentpéter, Iharos"
Nagyhalász Város Önkormányzata,Nagyhalász
Községi Önkormányzat Csapi,Csapi
Monostorapáti Község Önkormányzat,Monostorapáti
"Lajosmizse Város Önkormányzata, mint Lajosmizse és Felsőlajos Közoktatási Intézményfenntartói Társulása gesztora","Lajosmizse, Felsőlajos"
Vértessomló - Várgesztes Oktatási Intézményi Társulás nevében Vértessomló Község Önkormányzata mint gesztor,"Vértessomló, Várgesztes"
Balatonszabadi-Siójut Mikro-Térségi Oktatási-Közművelődési Társulása nevében Balatonszabadi Község Önkormányzata mint gesztor,"Siójut, Balatonszabadi"
Nagyréde Község Önkormányzata,Nagyréde
Balatongyörök Község Önkormányzata,Balatongyörök
Tiszanagyfalu Község Önkormányzata,Tiszanagyfalu
"Vasszécseny, Tanakajd Községek Oktatási Intézményfenntartó Társulása nevében Vasszécseny Község Önkormányzata","Tanakajd, Vasszécseny"
Szentgál Község Önkormányzata,Szentgál
Jánkmajtis Község Önkormányzata,Jánkmajtis
Bácskai Közoktatási Intézmény Intézményfenntartó Társulása nevében eljáró Felsőszentiván Község Önkormányzata,Felsőszentiván
Közoktatási intézmények nevében eljáró gesztor Zsombó Község Önkormányzata,Zsombó
Parád Nagyközség Önkormányzata,Parád
Intézményfenntartó Társulás nevében eljáró Kázsmárk Község Önkormányzata,Kázsmárk
Lövő-Nemeskér-Völcsej-Nagylózs-Simaság Közoktatási Intézményfenntartó Társulás nevében eljáró Lövő Község Önkormányzata,"Simaság, Nemeskér, Nagylózs, Völcsej, Lövő"
Taktabáj Község Önkormányzata,Taktabáj
Tordas Község Önkormányzata,Tordas
Újfehértó Város Önkormányzata,Újfehértó
Rákóczifalva Város Önkormányzata,Rákóczifalva
